Item Number,Diameter (mm),Thickness (mm),Quality,Min Quantity,Price Each,25 - 49,50 - 99,100 +,Orientation,Thickness Tol,Dimension Tol,Edge,,CORESIX
CGS1359,150,1.1,20/10,10,$143.30 ,$132.30 ,$122.90 ,$114.70 ,Single SEMI Flat,+/- 50um,+/- 0.20mm,CNC Ground,,$86.00 
CGS1360,200,0.5,80/50,10,$111.00 ,$102.40 ,$95.10 ,$88.80 ,SEMI Notch,+/- 50um,+/- 0.20mm,CNC Ground,,$66.60 
CGS1361,200,0.5,60/40,10,$128.30 ,$118.40 ,$110.00 ,$102.60 ,SEMI Notch,+/- 50um,+/- 0.20mm,CNC Ground,,$77.00 
CGS1362,200,0.5,40/20,10,$141.70 ,$130.80 ,$121.50 ,$113.40 ,SEMI Notch,+/- 50um,+/- 0.20mm,CNC Ground,,$85.10 
CGS1363,200,0.5,20/10,10,$157.20 ,$145.10 ,$134.70 ,$125.80 ,SEMI Notch,+/- 50um,+/- 0.20mm,CNC Ground,,$94.30 
CGS1364,200,0.7,80/50,10,$97.60 ,$90.10 ,$83.70 ,$78.10 ,SEMI Notch,+/- 50um,+/- 0.20mm,CNC Ground,,$58.60 
CGS1365,200,0.7,60/40,10,$103.60 ,$95.70 ,$88.80 ,$82.90 ,SEMI Notch,+/- 50um,+/- 0.20mm,CNC Ground,,$62.20 
CGS1366,200,0.7,40/20,10,$119.90 ,$110.60 ,$102.70 ,$95.90 ,SEMI Notch,+/- 50um,+/- 0.20mm,CNC Ground,,$71.90 
CGS1367,200,0.7,20/10,10,$140.60 ,$129.80 ,$120.60 ,$112.50 ,SEMI Notch,+/- 50um,+/- 0.20mm,CNC Ground,,$84.40 
CGS1368,200,1.1,80/50,10,$128.80 ,$118.90 ,$110.40 ,$103.10 ,SEMI Notch,+/- 50um,+/- 0.20mm,CNC Ground,,$77.30 
CGS1369,200,1.1,60/40,10,$135.40 ,$125.00 ,$116.10 ,$108.30 ,SEMI Notch,+/- 50um,+/- 0.20mm,CNC Ground,,$81.30 
CGS1370,200,1.1,40/20,10,$156.00 ,$144.00 ,$133.70 ,$124.80 ,SEMI Notch,+/- 50um,+/- 0.20mm,CNC Ground,,$93.60 
CGS1371,200,1.1,20/10,10,$182.60 ,$168.60 ,$156.50 ,$146.10 ,SEMI Notch,+/- 50um,+/- 0.20mm,CNC Ground,,$109.60 
